Date,Time,WYBONG TEMP 1h average [°C],WYBONG HUMID 1h average [%]
01/07/2019,01:00,3,80.1
01/07/2019,02:00,2,83.1
01/07/2019,03:00,1.1,86.7
01/07/2019,04:00,0.6,89.2
01/07/2019,05:00,-0.4,92.6
01/07/2019,06:00,-0.6,94
01/07/2019,07:00,-1.5,96.6
01/07/2019,08:00,-1.9,98.7
01/07/2019,09:00,1.6,88.8
01/07/2019,10:00,6.2,70.2
01/07/2019,11:00,10.1,55
01/07/2019,12:00,12.7,49.1
01/07/2019,13:00,14.4,43.9
01/07/2019,14:00,15.5,39.8
01/07/2019,15:00,16.1,37.7
01/07/2019,16:00,16,36.9
01/07/2019,17:00,14,43.5
01/07/2019,18:00,10.7,58
01/07/2019,19:00,8.3,66.4
01/07/2019,20:00,6.3,73.1
01/07/2019,21:00,4.9,78.8
01/07/2019,22:00,4.3,79.7
01/07/2019,23:00,3.7,82
01/07/2019,24:00,3.3,86.6
