Date,Time,ABERDEEN TEMP 1h average [°C],ABERDEEN HUMID 1h average [%]
01/07/2019,01:00,3.9,77.2
01/07/2019,02:00,3.1,80.5
01/07/2019,03:00,2.4,82.9
01/07/2019,04:00,1.7,86.8
01/07/2019,05:00,1.2,87.9
01/07/2019,06:00,1.5,87.6
01/07/2019,07:00,0.9,90.3
01/07/2019,08:00,1.2,89
01/07/2019,09:00,2.3,86.8
01/07/2019,10:00,7,70.5
01/07/2019,11:00,9.4,60.9
01/07/2019,12:00,12.1,51.9
01/07/2019,13:00,13.6,48.3
01/07/2019,14:00,15.1,42.4
01/07/2019,15:00,16.2,39.4
01/07/2019,16:00,16.3,39.4
01/07/2019,17:00,15,42.1
01/07/2019,18:00,13.2,47
01/07/2019,19:00,11,56.3
01/07/2019,20:00,9.6,61.3
01/07/2019,21:00,7.9,68.1
01/07/2019,22:00,6.6,74.2
01/07/2019,23:00,4.8,80.7
01/07/2019,24:00,4.9,80
