Date,Time,ALBURY TEMP 1h average [°C],ALBURY HUMID 1h average [%]
01/07/2019,01:00,6.4,85.8
01/07/2019,02:00,6.1,87.7
01/07/2019,03:00,5.5,89.8
01/07/2019,04:00,4.5,91.6
01/07/2019,05:00,3.7,94.2
01/07/2019,06:00,2.8,95.2
01/07/2019,07:00,1.8,96.3
01/07/2019,08:00,1.6,96.4
01/07/2019,09:00,3.4,91.6
01/07/2019,10:00,6.3,81.8
01/07/2019,11:00,7.8,76.6
01/07/2019,12:00,9.2,71.8
01/07/2019,13:00,10,67.7
01/07/2019,14:00,10.1,68.3
01/07/2019,15:00,10.2,68.3
01/07/2019,16:00,10.1,68.9
01/07/2019,17:00,9.3,72
01/07/2019,18:00,8.4,77.3
01/07/2019,19:00,7.6,82
01/07/2019,20:00,6.5,85.7
01/07/2019,21:00,6.2,85.8
01/07/2019,22:00,5.8,88.6
01/07/2019,23:00,5.3,92.6
01/07/2019,24:00,4.7,92.8
