Date,Time,BERESFIELD TEMP 1h average [°C],BERESFIELD HUMID 1h average [%]
01/07/2019,01:00,7.2,69.3
01/07/2019,02:00,5.5,79.8
01/07/2019,03:00,4.4,84.7
01/07/2019,04:00,3.5,88.6
01/07/2019,05:00,3.4,89.6
01/07/2019,06:00,3.3,88
01/07/2019,07:00,3,87.9
01/07/2019,08:00,3.7,81.9
01/07/2019,09:00,5.1,79.2
01/07/2019,10:00,7,72.4
01/07/2019,11:00,9.8,61.8
01/07/2019,12:00,12,54.7
01/07/2019,13:00,13.7,43.2
01/07/2019,14:00,15.1,36.8
01/07/2019,15:00,16,35.9
01/07/2019,16:00,15.3,40.2
01/07/2019,17:00,13.7,51.6
01/07/2019,18:00,11.6,62
01/07/2019,19:00,10,76.8
01/07/2019,20:00,8.7,82.9
01/07/2019,21:00,7.6,84.6
01/07/2019,22:00,6.5,86.4
01/07/2019,23:00,5.5,91.8
01/07/2019,24:00,4.4,94
