Date,Time,BRINGELLY TEMP 1h average [°C],BRINGELLY HUMID 1h average [%]
01/07/2019,01:00,5.5,70.2
01/07/2019,02:00,3.5,80.3
01/07/2019,03:00,1.6,88.3
01/07/2019,04:00,0.4,93
01/07/2019,05:00,-0.2,94.5
01/07/2019,06:00,-0.8,94.8
01/07/2019,07:00,-1.2,95.8
01/07/2019,08:00,-1,95.7
01/07/2019,09:00,2.6,88
01/07/2019,10:00,6.6,75.9
01/07/2019,11:00,10.4,59.7
01/07/2019,12:00,12.8,47.8
01/07/2019,13:00,14.7,42.7
01/07/2019,14:00,15.7,39.9
01/07/2019,15:00,16.1,42.9
01/07/2019,16:00,15.4,45.8
01/07/2019,17:00,12.8,60.2
01/07/2019,18:00,9.9,75
01/07/2019,19:00,8.3,83.9
01/07/2019,20:00,7.5,88.4
01/07/2019,21:00,6.9,89.8
01/07/2019,22:00,6.1,91.8
01/07/2019,23:00,4.7,95.1
01/07/2019,24:00,3.6,95.8
