Date,Time,EARLWOOD TEMP 1h average [°C],EARLWOOD HUMID 1h average [%]
01/07/2019,01:00,7.4,72.2
01/07/2019,02:00,7.7,67.2
01/07/2019,03:00,7.4,68.2
01/07/2019,04:00,6.9,70.7
01/07/2019,05:00,6.4,72.6
01/07/2019,06:00,6.4,72.5
01/07/2019,07:00,6.3,72.6
01/07/2019,08:00,6.7,70.9
01/07/2019,09:00,7.9,68.1
01/07/2019,10:00,9.8,60
01/07/2019,11:00,11.4,54.4
01/07/2019,12:00,13.7,47.3
01/07/2019,13:00,15.6,43.5
01/07/2019,14:00,16.6,46
01/07/2019,15:00,16.8,47.1
01/07/2019,16:00,16.4,51.9
01/07/2019,17:00,15.1,62.6
01/07/2019,18:00,12.9,74.8
01/07/2019,19:00,12.7,74.6
01/07/2019,20:00,12,80.1
01/07/2019,21:00,10.9,85.5
01/07/2019,22:00,10.2,86.3
01/07/2019,23:00,9.1,90.8
01/07/2019,24:00,8.2,92.9
