Date,Time,KEMBLA GRANGE TEMP 1h average [°C],KEMBLA GRANGE HUMID 1h average [%]
01/07/2019,01:00,9.6,49.6
01/07/2019,02:00,9.3,50.7
01/07/2019,03:00,7.3,60.1
01/07/2019,04:00,5.9,66.7
01/07/2019,05:00,5.1,71.3
01/07/2019,06:00,4,76.9
01/07/2019,07:00,3.9,77.2
01/07/2019,08:00,4.4,74.8
01/07/2019,09:00,8.1,64.3
01/07/2019,10:00,11.7,52.6
01/07/2019,11:00,15,35.9
01/07/2019,12:00,16.3,30.7
01/07/2019,13:00,17.4,30.6
01/07/2019,14:00,18.1,30.4
01/07/2019,15:00,18.1,29.3
01/07/2019,16:00,16.8,38.6
01/07/2019,17:00,14.9,46.4
01/07/2019,18:00,12.5,56.5
01/07/2019,19:00,12.2,56.2
01/07/2019,20:00,13.4,50.7
01/07/2019,21:00,12.6,53.1
01/07/2019,22:00,11,59.8
01/07/2019,23:00,11.1,57.5
01/07/2019,24:00,10.2,61.5
