Date,Time,MUSWELLBROOK NW TEMP 1h average [°C],MUSWELLBROOK NW HUMID 1h average [%]
01/07/2019,01:00,3.3,79.8
01/07/2019,02:00,2.8,81.5
01/07/2019,03:00,1.8,85.4
01/07/2019,04:00,1.6,86.4
01/07/2019,05:00,1,88.4
01/07/2019,06:00,0.7,89.1
01/07/2019,07:00,-0.3,92.2
01/07/2019,08:00,-0.5,93.4
01/07/2019,09:00,2.4,88.1
01/07/2019,10:00,7.1,72.8
01/07/2019,11:00,10.1,59.9
01/07/2019,12:00,12.2,52
01/07/2019,13:00,14.1,45.4
01/07/2019,14:00,15.9,40.2
01/07/2019,15:00,16.8,36.3
01/07/2019,16:00,16.9,36.3
01/07/2019,17:00,15,42.5
01/07/2019,18:00,12,53.3
01/07/2019,19:00,8.7,69.1
01/07/2019,20:00,6.8,76
01/07/2019,21:00,5.4,80.5
01/07/2019,22:00,4.1,83.3
01/07/2019,23:00,4.3,83.1
01/07/2019,24:00,3.3,87.4
