Date,Time,NARRABRI TEMP 1h average [°C],NARRABRI HUMID 1h average [%]
01/07/2019,01:00,6.9,62.1
01/07/2019,02:00,8.6,55.5
01/07/2019,03:00,8.5,56.9
01/07/2019,04:00,7.8,61.1
01/07/2019,05:00,7.4,62.2
01/07/2019,06:00,6.6,65
01/07/2019,07:00,6.1,66
01/07/2019,08:00,6.2,65.4
01/07/2019,09:00,7.7,60.2
01/07/2019,10:00,10.2,52.6
01/07/2019,11:00,13.3,45.1
01/07/2019,12:00,16.2,40.6
01/07/2019,13:00,18.4,37
01/07/2019,14:00,19.8,35.2
01/07/2019,15:00,21.2,33.7
01/07/2019,16:00,21.6,32.4
01/07/2019,17:00,21.1,34.7
01/07/2019,18:00,18.2,40.6
01/07/2019,19:00,16.7,44.6
01/07/2019,20:00,14.2,51
01/07/2019,21:00,12.9,54.6
01/07/2019,22:00,12.8,55
01/07/2019,23:00,12.7,54.1
01/07/2019,24:00,11.8,55.7
