Date,Time,PARRAMATTA NORTH TEMP 1h average [°C],PARRAMATTA NORTH HUMID 1h average [%]
01/07/2019,01:00,5.7,84.3
01/07/2019,02:00,4.6,91.2
01/07/2019,03:00,4,94.5
01/07/2019,04:00,3.6,95.3
01/07/2019,05:00,3.1,98.1
01/07/2019,06:00,2.9,98
01/07/2019,07:00,2.9,96.8
01/07/2019,08:00,3.5,94.1
01/07/2019,09:00,6.2,79.3
01/07/2019,10:00,7.5,71.6
01/07/2019,11:00,9.5,62.9
01/07/2019,12:00,11.9,53
01/07/2019,13:00,14.2,44.9
01/07/2019,14:00,15.7,45.9
01/07/2019,15:00,16.7,46.4
01/07/2019,16:00,16.6,48.8
01/07/2019,17:00,14.6,62.7
01/07/2019,18:00,12.4,70.8
01/07/2019,19:00,11.2,78.8
01/07/2019,20:00,10.2,86.6
01/07/2019,21:00,9.2,93.6
01/07/2019,22:00,8.6,96.7
01/07/2019,23:00,7.6,100.8
01/07/2019,24:00,6.7,101.4
