Date,Time,PROSPECT TEMP 1h average [°C],PROSPECT HUMID 1h average [%]
01/07/2019,01:00,8.4,58.4
01/07/2019,02:00,6.1,69.2
01/07/2019,03:00,4.9,75.7
01/07/2019,04:00,4.2,81
01/07/2019,05:00,3.6,84.4
01/07/2019,06:00,3.4,86.5
01/07/2019,07:00,3.1,88.7
01/07/2019,08:00,2.9,90.1
01/07/2019,09:00,5.6,78.8
01/07/2019,10:00,7.2,68.2
01/07/2019,11:00,9.6,60.3
01/07/2019,12:00,11.7,51.6
01/07/2019,13:00,14.2,41.5
01/07/2019,14:00,15.4,43.1
01/07/2019,15:00,15.8,45.4
01/07/2019,16:00,15.9,46.1
01/07/2019,17:00,15.1,50.6
01/07/2019,18:00,13.1,60.8
01/07/2019,19:00,11.8,67.1
01/07/2019,20:00,11.4,69.3
01/07/2019,21:00,10.6,73.1
01/07/2019,22:00,9.8,77.5
01/07/2019,23:00,8.4,84.3
01/07/2019,24:00,7.3,87.8
