Date,Time,RICHMOND TEMP 1h average [°C],RICHMOND HUMID 1h average [%]
01/07/2019,01:00,1.5,94.9
01/07/2019,02:00,0.4,99
01/07/2019,03:00,0.2,96.6
01/07/2019,04:00,-0.5,99.2
01/07/2019,05:00,-0.9,98.9
01/07/2019,06:00,-1.4,99.3
01/07/2019,07:00,-1.7,99.3
01/07/2019,08:00,-1.6,98.9
01/07/2019,09:00,1.2,93.9
01/07/2019,10:00,4.7,80.9
01/07/2019,11:00,8.3,66
01/07/2019,12:00,11,52.9
01/07/2019,13:00,12.9,47.4
01/07/2019,14:00,14.8,42.3
01/07/2019,15:00,15.7,41.8
01/07/2019,16:00,15.7,42.5
01/07/2019,17:00,13.9,49.2
01/07/2019,18:00,9.8,68.8
01/07/2019,19:00,8.4,75.5
01/07/2019,20:00,7.9,79.1
01/07/2019,21:00,6.6,85.9
01/07/2019,22:00,6,88.8
01/07/2019,23:00,4.9,96.9
01/07/2019,24:00,3.3,100.3
