Date,Time,SINGLETON TEMP 1h average [°C],SINGLETON HUMID 1h average [%]
01/07/2019,01:00,4.6,88.4
01/07/2019,02:00,3.6,92
01/07/2019,03:00,3.2,93.7
01/07/2019,04:00,2.7,95.7
01/07/2019,05:00,2.5,95.6
01/07/2019,06:00,1.8,96.4
01/07/2019,07:00,1.7,98.2
01/07/2019,08:00,1.7,98.3
01/07/2019,09:00,5.5,89.6
01/07/2019,10:00,8.9,75.6
01/07/2019,11:00,10.9,64.5
01/07/2019,12:00,13,50.7
01/07/2019,13:00,15.2,41.7
01/07/2019,14:00,16.7,35.5
01/07/2019,15:00,17.5,33.2
01/07/2019,16:00,16.8,35.9
01/07/2019,17:00,15.3,41.4
01/07/2019,18:00,12,62.8
01/07/2019,19:00,9.7,75.9
01/07/2019,20:00,8.4,79.4
01/07/2019,21:00,6.9,86
01/07/2019,22:00,5.9,85.8
01/07/2019,23:00,4.8,89.7
01/07/2019,24:00,4.1,92
