Date,Time,SINGLETON NW TEMP 1h average [°C],SINGLETON NW HUMID 1h average [%]
01/07/2019,01:00,8.9,63.7
01/07/2019,02:00,7.8,67.5
01/07/2019,03:00,7.6,67.1
01/07/2019,04:00,6.7,71.4
01/07/2019,05:00,6,75.1
01/07/2019,06:00,5,80.4
01/07/2019,07:00,4.4,82.9
01/07/2019,08:00,4.3,81.9
01/07/2019,09:00,5.9,81
01/07/2019,10:00,8,72.4
01/07/2019,11:00,9.6,63.3
01/07/2019,12:00,12,51.3
01/07/2019,13:00,14.3,40.1
01/07/2019,14:00,15.4,35.5
01/07/2019,15:00,16.3,33.4
01/07/2019,16:00,16,35.4
01/07/2019,17:00,14.6,42.2
01/07/2019,18:00,13.4,44.5
01/07/2019,19:00,13.1,43.7
01/07/2019,20:00,12.3,46.6
01/07/2019,21:00,9.8,60.4
01/07/2019,22:00,9.5,64.7
01/07/2019,23:00,8.5,69.7
01/07/2019,24:00,7.3,74.5
