Date,Time,SINGLETON SOUTH TEMP 1h average [°C],SINGLETON SOUTH HUMID 1h average [%]
01/07/2019,01:00,4.4,86.3
01/07/2019,02:00,2.7,95.3
01/07/2019,03:00,2.1,98
01/07/2019,04:00,1.3,97.9
01/07/2019,05:00,1.1,97.9
01/07/2019,06:00,0.3,100
01/07/2019,07:00,0.3,101.3
01/07/2019,08:00,0,101.7
01/07/2019,09:00,2.8,96.2
01/07/2019,10:00,6.1,87.6
01/07/2019,11:00,9.3,75.5
01/07/2019,12:00,12.1,57.7
01/07/2019,13:00,14.3,46.4
01/07/2019,14:00,15.5,36.6
01/07/2019,15:00,16.2,35.7
01/07/2019,16:00,16.2,34.2
01/07/2019,17:00,15,37.6
01/07/2019,18:00,13.2,45.4
01/07/2019,19:00,10,63.8
01/07/2019,20:00,8.3,69
01/07/2019,21:00,6.3,84.5
01/07/2019,22:00,5.1,90.3
01/07/2019,23:00,3.5,95
01/07/2019,24:00,2.9,97.5
