Date,Time,WOLLONGONG TEMP 1h average [°C],WOLLONGONG HUMID 1h average [%]
01/07/2019,01:00,10.6,38.5
01/07/2019,02:00,9.6,42.7
01/07/2019,03:00,6.1,60.1
01/07/2019,04:00,4.2,71.6
01/07/2019,05:00,3.1,77.5
01/07/2019,06:00,2.8,79.3
01/07/2019,07:00,2.3,81.8
01/07/2019,08:00,3.1,79.1
01/07/2019,09:00,7.8,64.5
01/07/2019,10:00,12,44.2
01/07/2019,11:00,14.1,37.8
01/07/2019,12:00,15.7,38.2
01/07/2019,13:00,16.5,37.9
01/07/2019,14:00,17,34.6
01/07/2019,15:00,17,33.2
01/07/2019,16:00,16.2,36.1
01/07/2019,17:00,15,40.1
01/07/2019,18:00,14.1,45.9
01/07/2019,19:00,13.2,50.1
01/07/2019,20:00,13.3,46.9
01/07/2019,21:00,12.9,47.6
01/07/2019,22:00,12.5,47.5
01/07/2019,23:00,11.7,50.5
01/07/2019,24:00,11.1,53.3
